transaction_id,order_date,customer_id,store_name,city,product_name,category,size,quantity,unit_price_inr,discount_percent,total_amount_inr,payment_method,customer_rating,loyalty_member,order_channel
TXN00001,2025-03-31,CUST1055,Starbucks Phoenix Mall,Mumbai,Iced Tea,Tea,Unavailable,2.0,245,5.0,465.5,Wallet,4,no,Zomato
TXN00002,2025-12-11,CUST1091,Starbucks Koregaon Park,Pune,Blueberry Muffin,Bakery,Unavailable,1.0,215,20.0,172,UPI,4.5,no,Walk-in
TXN00003,2025-02-16,CUST1020,Starbucks Cyber Hub,Bengaluru,Espresso,Coffee,Unavailable,1.0,215,15.0,Unavailable,UPi,6,No,app
TXN00004,24/01/2026,CUST1142,Starbucks Cyber Hub,Bengaluru,Cappuccino,Coffee,Tall,1.0,290,0.0,290,Wallet,five,Yes,app
TXN00005,2026-04-15,CUST1143,Starbucks Mall Road,Ludhiana,Java Chip Frappuccino,Frappuccino,Unavailable,1.0,365,15.0,Unavailable,UPi,4,No,Delivery
TXN00006,2026-03-09,CUST1119,Starbucks Phoenix Mall,Mumbai,Espresso,Coffee,Tall,1.0,225,0.0,225,UPI,3,Unavailable,Zomato
TXN00007,Unavailable,CUST1076,Star bucks Mall Road,Ludhiana,Blueberry Muffin,Bakery,VENTI,2.0,170,20.0,272,Cash,3,Unavailable,App
TXN00008,2025-03-22,CUST1017,Star bucks Cyber Hub,Bengaluru,Pumpkin Spice Latte,Coffee,Venti,1.0,370,15.0,414.5,card,5,Unavailable,Unavailable
TXN00009,2026-04-08,Unavailable,Starbucks Hitech City,Hyderabad,Mocha,Coffee,Grande,2.0,355,10.0,639,Card,3.5,No,Walk-in
TXN00010,05-16-2025,CUST1104,Starbucks Mall Road,Ludhiana,Turkey Sandwich,Merchandise,Unavailable,-1.0,340,5.0,-323,Unavailable,5,no,App
TXN00011,2025-04-22,CUST1114,Starbucks Hitech City,Hyderabad,Iced Tea,Tea,Grande,1.0,245,0.0,245,Unavailable,3.5,Unavailable,Walk-in
TXN00012,2026-05-08,CUST1015,Starbucks Phoenix Mall,Mumbai,Caffè Latte,Coffee,Unavailable,1.0,Unavailable,0.0,Unavailable,card,4,no,Unavailable
TXN00013,not available,CUST1047,Star bucks Hitech City,Hyderabad,Caramel Macchiato,Coffee,Unavailable,1.0,330,5.0,Unavailable,UPI,1,Unavailable,Swiggy
TXN00014,25/09/2025,CUST1061,Starbucks Indiranagar,Noida,Pumpkin Spice Latte,Coffee,Unavailable,1.0,390,20.0,312,UPi,6,Yes,App
TXN00015,2025-05-16,CUST1062,Starbucks Cyber Hub,Bengaluru,Matcha Latte,Tea,grande,1.0,345,0.0,345,Card,five,Unavailable,Zomato
TXN00016,2025-10-16,CUST1067,Starbucks Sector-35,Gurugram,Turkey Sandwich,Food,Tall,2.0,350,0.0,700,UPI,2,Unavailable,Unavailable
TXN00017,2026-03-14,CUST1038,Starbucks Phoenix Mall,Mumbai,Spinach Feta Wrap,Food,Venti,3.0,290,0.0,870,Unavailable,5,No,App
TXN00018,29/12/2025,CUST1060,Starbucks Cyber Hub,Bengaluru,Americano,Coffee,Unavailable,1.0,275,15.0,233.75,Card,4,No,app
TXN00019,2025-02-09,CUST1117,Starbucks CP,Delhi,Blueberry Muffin,Bakery,Short,2.0,215,10.0,387,Card,3,Unavailable,Swiggy
TXN00020,12-06-2025,CUST1066,Starbucks Sector-35,Gurugram,Java Chip Frappuccino,Frappuccino,Grande,1.0,400,10.0,360,Unavailable,4.5,YES,app
TXN00021,Unavailable,CUST1050,Starbucks Cyber Hub,Bengaluru,Java Chip Frappuccino,Frappuccino,VENTI,1.0,375,20.0,300,UPi,6,Unavailable,Walk-in
TXN00022,11/05/2025,CUST1097,Starbucks MI Road,Jaipur,Chocolate Croissant,Bakery,grande,2.0,210,20.0,336,Unavailable,4.5,Unavailable,App
TXN00023,Unavailable,CUST1043,Starbucks Mall Road,Ludhiana,Americano,Coffee,VENTI,1.0,250,15.0,Unavailable,UPI,Unavailable,No,Zomato
TXN00024,03-16-2025,CUST1147,Starbucks Mall Road,Ludhiana,Mocha,Coffee,Short,1.0,320,0.0,320,Cash,4,Unavailable,App
TXN00025,2026-04-21,CUST1031,Starbucks Phoenix Mall,Mumbai,Turkey Sandwich,Food,VENTI,1.0,385,20.0,308,Unavailable,4,Unavailable,Unavailable
TXN00026,2025-10-11,CUST1112,Starbucks Koregaon Park,Pune,Spinach Feta Wrap,Food,VENTI,1.0,310,5.0,Unavailable,UPI,Unavailable,No,Delivery
TXN00027,2026-04-23,CUST1107,Starbucks MI Road,Jaipur,Mocha,Coffee,Tall,2.0,320,0.0,640,Unavailable,3.5,no,App
TXN00028,2026-05-15,CUST1007,Starbucks Indiranagar,Noida,Cappuccino,Coffee,Venti,4.0,290,5.0,Unavailable,Unavailable,five,No,App
TXN00029,2025-07-06,CUST1054,Starbucks Phoenix Mall,Mumbai,Turkey Sandwich,Food,grande,1.0,360,0.0,360,Unavailable,3.5,YES,Walk-in
TXN00030,2025-09-11,CUST1039,Starbucks Sector 17,Chandigarh,Matcha Latte,Unavailable,grande,3.0,325,5.0,876.25,UPi,2,No,Walk-in
TXN00031,2026-01-20,CUST1062,Starbucks Indiranagar,Noida,Blueberry Muffin,Bakery,Grande,1.0,190,0.0,190,Card,5,YES,Unavailable
TXN00032,2026-04-16,CUST1133,STARBUCKS Mall Road,Ludhiana,Iced Tea,Tea,Unavailable,3.0,230,0.0,690,Unavailable,3.5,no,Zomato
TXN00033,2026-01-24,CUST1083,Starbucks Cyber Hub,Bengaluru,Cappuccino,Coffee,VENTI,1.0,315,10.0,283.5,card,Unavailable,Unavailable,Zomato
TXN00034,05-03-2026,CUST1023,Starbucks Sector-35,Gurugram,Espresso,Food,VENTI,2.0,180,20.0,288,Unavailable,Unavailable,Unavailable,app
TXN00035,2025-08-25,CUST1030,Starbucks Koregaon Park,Pune,Java Chip Frappuccino,Frappuccino,Short,3.0,375,15.0,956.25,Wallet,Unavailable,Unavailable,Unavailable
TXN00036,2026-01-05,CUST1136,Starbucks Cyber Hub,Bengaluru,Americano,Coffee,Venti,-1.0,₹275,10.0,Unavailable,Unavailable,2,Yes,App
TXN00037,2026-05-05,CUST1125,Starbucks Sector 17,Chandigarh,Pumpkin Spice Latte,Coffee,Grande,0.0,390,15.0,Unavailable,Wallet,3,Yes,Unavailable
TXN00038,01/11/2025,CUST1015,Starbucks Mall Road,Ludhiana,Pumpkin Spice Latte,Coffee,Short,2.0,390,5.0,Unavailable,Wallet,3.5,YES,Walk-in
TXN00039,2026-04-27,CUST1072,Starbucks MI Road,Jaipur,Caramel Macchiato,Coffee,grande,1.0,340,0.0,340,Wallet,1,no,Walk-in
TXN00040,2025-11-11,CUST1077,Starbucks Sector 17,Chandigarh,Espresso,Coffee,Unavailable,2.0,190,0.0,380,Unavailable,2,Yes,App
TXN00041,2025-01-22,CUST1044,Starbucks CP,Delhi,Turkey Sandwich,Food,Venti,1.0,360,10.0,Unavailable,Unavailable,1,Unavailable,Unavailable
TXN00042,Unavailable,CUST1009,Starbucks Phoenix Mall,Mumbai,Cold Brew,Coffee,Unavailable,3.0,310,15.0,790.5,Card,2,Unavailable,Unavailable
TXN00043,05-15-2025,CUST1124,Starbucks Sector 17,Chandigarh,Java Chip Frappuccino,Unavailable,Short,1.0,375,5.0,Unavailable,Cash,Unavailable,YES,App
TXN00044,10-26-2025,CUST1120,Starbucks Phoenix Mall,Mumbai,Espresso,Coffee,Venti,1.0,190,5.0,Unavailable,UPI,2,YES,Unavailable
TXN00045,2026-05-17,CUST1088,Starbucks Koregaon Park,Pune,Cappuccino,Coffee,VENTI,2.0,290,0.0,580,Wallet,5,Unavailable,Swiggy
TXN00046,01-26-2026,CUST1038,Starbucks Mall Road,Ludhiana,Pumpkin Spice Latte,Coffee,Unavailable,4.0,free,0.0,Unavailable,UPI,4.5,Unavailable,Unavailable
TXN00047,2026-02-12,CUST1136,Starbucks Koregaon Park,Pune,Caffè Latte,Coffee,Unavailable,1.0,285,0.0,285,Card,Unavailable,Unavailable,Walk-in
TXN00048,13/04/2025,CUST1007,Starbucks CP,Delhi,Mocha,Coffee,VENTI,2.0,330,0.0,660,Unavailable,3.5,No,Swiggy
TXN00049,not available,CUST1059,Starbucks CP,Delhi,Espresso,Coffee,Tall,1.0,215,0.0,215,Unavailable,3,YES,Delivery
TXN00050,11-06-2025,CUST1027,Starbucks Koregaon Park,Pune,Cold Brew,Coffee,grande,1.0,310,10.0,Unavailable,Card,3.5,Unavailable,Unavailable
TXN00051,2025-08-13,CUST1035,Starbucks Indiranagar,Noida,Americano,Coffee,grande,0.0,250,10.0,0,Unavailable,4,Yes,app
TXN00052,2026-01-10,CUST1123,Starbucks Cyber Hub,Bengaluru,Chocolate Croissant,Bakery,Grande,3.0,210,20.0,504,Unavailable,3,Yes,Delivery
TXN00053,2025-01-15,CUST1094,Starbucks CP,Delhi,Blueberry Muffin,Bakery,VENTI,4.0,215,5.0,Unavailable,UPI,4.5,Unavailable,Swiggy
TXN00054,2025-11-06,CUST1009,Starbucks Mall Road,Ludhiana,Matcha Latte,Unavailable,Unavailable,1.0,345,5.0,ERROR,Unavailable,2,YES,Unavailable
TXN00055,2025-10-14,CUST1113,Starbucks Indiranagar,Noida,Pumpkin Spice Latte,Coffee,VENTI,4.0,380,0.0,1520,UPi,Unavailable,Yes,Unavailable
TXN00056,Unavailable,CUST1052,Starbucks Indiranagar,Noida,Americano,Coffee,Short,0.0,230,0.0,0,Wallet,4,YES,Delivery
TXN00057,06-28-2025,Unavailable,Starbucks Sector-35,Gurugram,Blueberry Muffin,Bakery,Venti,2.0,170,0.0,Unavailable,Unavailable,3,Unavailable,Walk-in
TXN00058,08-15-2025,CUST1133,Starbucks CP,Delhi,Chocolate Croissant,FOOD,Unavailable,3.0,235,5.0,Unavailable,Unavailable,6,Unavailable,Walk-in
TXN00059,10/05/2025,CUST1140,Starbucks Indiranagar,Noida,Matcha Latte,Tea,grande,1.0,345,0.0,345,Unavailable,4.5,Unavailable,Unavailable
TXN00060,2026-02-28,CUST1106,Starbucks Mall Road,Ludhiana,Cold Brew,Coffee,grande,-1.0,290,5.0,-275.5,UPi,3.5,No,Unavailable
TXN00061,2025-03-03,CUST1090,Starbucks Hitech City,Hyderabad,Cold Brew,Coffee,Tall,1.0,290,20.0,232,card,2,Unavailable,Zomato
TXN00062,12-25-2025,CUST1146,Starbucks Cyber Hub,Bengaluru,Cappuccino,Coffee,Tall,2.0,290,0.0,580,card,Unavailable,Yes,Delivery
TXN00063,15/02/2026,CUST1007,Starbucks Phoenix Mall,Mumbai,Americano,Coffee,Unavailable,3.0,250,15.0,637.5,UPi,1,No,app
TXN00064,2025-02-20,CUST1108,Starbucks Phoenix Mall,Mumbai,Americano,Coffee,Grande,1.0,275,0.0,Unavailable,UPi,1,no,Walk-in
TXN00065,2025-02-26,CUST1054,Starbucks Sector 17,Chandigarh,Americano,Coffee,Grande,0.0,250,5.0,Unavailable,Card,5,no,Unavailable
TXN00066,2025-02-13,CUST1019,Star bucks Hitech City,Hyderabad,Caramel Macchiato,Coffee,Unavailable,2.0,340,5.0,Unavailable,card,five,Yes,Unavailable
TXN00067,19/04/2025,CUST1134,Starbucks CP,Delhi,Caffè Latte,Coffee,Short,1.0,275,5.0,Unavailable,UPi,4.5,No,Walk-in
TXN00068,2025-06-01,CUST1050,Starbucks Hitech City,Hyderabad,Espresso,Coffee,Grande,-1.0,200,5.0,-190,Cash,4.5,Unavailable,Unavailable
TXN00069,2025-11-20,CUST1113,Starbucks Indiranagar,Noida,Matcha Latte,Tea,VENTI,1.0,370,5.0,Unavailable,UPI,6,YES,Unavailable
TXN00070,29/01/2026,CUST1010,Starbucks Indiranagar,Noida,Matcha Latte,Merchandise,VENTI,2.0,370,0.0,740,Unavailable,2,Unavailable,Delivery
TXN00071,2026-03-25,CUST1040,Star bucks Phoenix Mall,Mumbai,Caffè Latte,Coffee,VENTI,3.0,310,0.0,930,Card,five,Unavailable,app
TXN00072,08/12/2025,CUST1089,Starbucks Indiranagar,Noida,Cold Brew,Coffee,Venti,4.0,310,10.0,1116,UPI,5,YES,Unavailable
TXN00073,2025-01-19,CUST1054,Starbucks MI Road,Jaipur,Iced Tea,Tea,Venti,1.0,255,5.0,Unavailable,Cash,2,Yes,Zomato
TXN00074,2025-05-15,CUST1042,Starbucks Hitech City,Hyderabad,Spinach Feta Wrap,Food,Short,-1.0,free,5.0,Unavailable,Unavailable,1,Unavailable,Zomato
TXN00075,26/04/2026,CUST1146,Starbucks Koregaon Park,Pune,Blueberry Muffin,Bakery,Unavailable,2.0,190,5.0,Unavailable,Unavailable,4,No,Swiggy
TXN00076,2025-04-16,CUST1041,Starbucks Hitech City,Hyderabad,Blueberry Muffin,Bakery,Short,2.0,215,0.0,Unavailable,Unavailable,Unavailable,YES,App
TXN00077,23/11/2025,CUST1085,Starbucks Hitech City,Hyderabad,Java Chip Frappuccino,Unavailable,Unavailable,2.0,375,20.0,600,Cash,2,Unavailable,Unavailable
TXN00078,2026-03-10,CUST1077,Starbucks Phoenix Mall,Mumbai,Matcha Latte,Tea,Unavailable,1.0,325,10.0,292.5,UPI,4,Yes,Unavailable
TXN00079,2025-12-28,CUST1021,Starbucks Koregaon Park,Pune,Pumpkin Spice Latte,Coffee,Tall,-1.0,405,5.0,-384.75,Unavailable,3,no,App
TXN00080,2025-04-17,CUST1139,Starbucks CP,Delhi,Iced Tea,Tea,Unavailable,2.0,230,0.0,460,Unavailable,4.5,Unavailable,Delivery
TXN00081,2025-02-12,CUST1101,starbucks Cyber Hub,Bengaluru,Blueberry Muffin,Bakery,Short,0.0,205,0.0,0,card,5,YES,App
TXN00082,2026-01-31,CUST1127,Starbucks MI Road,Jaipur,Spinach Feta Wrap,Food,Grande,1.0,310,15.0,263.5,Unavailable,3.5,Yes,Unavailable
TXN00083,30/10/2025,CUST1109,Star bucks CP,Delhi,Pumpkin Spice Latte,Coffee,VENTI,-1.0,380,10.0,-342,Unavailable,4.5,YES,App
TXN00084,2026-03-25,CUST1093,Starbucks Sector 17,Chandigarh,Cold Brew,Coffee,Unavailable,3.0,310,5.0,ERROR,UPi,3,YES,Unavailable
TXN00085,2025-04-27,CUST1132,Starbucks Koregaon Park,Pune,Blueberry Muffin,Bakery,grande,3.0,190,20.0,456,Unavailable,4.5,No,Zomato
TXN00086,01/04/2026,CUST1081,Starbucks CP,Delhi,Chocolate Croissant,Bakery,grande,2.0,210,0.0,420,card,3,No,Delivery
TXN00087,27/01/2025,CUST1119,Starbucks Cyber Hub,Bengaluru,Blueberry Muffin,Bakery,Grande,1.0,180,5.0,171,UPI,3,YES,Unavailable
TXN00088,2025-11-21,CUST1132,Starbucks CP,Delhi,Chocolate Croissant,Bakery,Venti,4.0,210,20.0,672,Cash,6,no,App
TXN00089,08-19-2025,CUST1020,Starbucks Hitech City,Hyderabad,Spinach Feta Wrap,Food,Venti,2.0,300,0.0,600,card,3,Unavailable,Walk-in
TXN00090,12-12-2025,CUST1020,Starbucks Indiranagar,Noida,Espresso,Coffee,Short,1.0,200,0.0,Unavailable,Unavailable,3,Unavailable,App
TXN00091,2026-02-20,CUST1015,Starbucks Cyber Hub,Bengaluru,Matcha Latte,Tea,VENTI,2.0,345,10.0,621,Cash,Unavailable,YES,app
TXN00092,2025-11-23,CUST1115,Starbucks Sector-35,Gurugram,Chocolate Croissant,Bakery,Unavailable,4.0,210,0.0,840,Unavailable,4.5,No,Delivery
TXN00093,2026-04-24,CUST1005,Starbucks Mall Road,Ludhiana,Spinach Feta Wrap,Food,Short,3.0,310,5.0,883.5,Wallet,3,Unavailable,app
TXN00094,2026-03-18,CUST1093,Starbucks Sector 17,Chandigarh,Caffè Latte,FOOD,Short,0.0,285,10.0,0,UPi,five,Unavailable,Zomato
TXN00095,Unavailable,CUST1093,starbucks Indiranagar,Noida,Cold Brew,Coffee,Tall,-1.0,310,10.0,-279,Card,6,Yes,Delivery
TXN00096,24/05/2025,CUST1041,Starbucks Indiranagar,Noida,Chocolate Croissant,Bakery,VENTI,-1.0,210,5.0,Unavailable,Unavailable,3,Unavailable,Zomato
TXN00097,Unavailable,CUST1147,Starbucks Indiranagar,Noida,Matcha Latte,Tea,Unavailable,3.0,Unavailable,0.0,Unavailable,Cash,3.5,Unavailable,Swiggy
TXN00098,2025-06-05,CUST1128,Starbucks Mall Road,Ludhiana,Caffè Latte,Coffee,Tall,1.0,300,5.0,285,Cash,1,Unavailable,Swiggy
TXN00099,2026-04-16,CUST1067,Starbucks Hitech City,Hyderabad,Espresso,Coffee,grande,0.0,215,5.0,Unavailable,Wallet,3.5,YES,Zomato
TXN00100,08/10/2025,CUST1139,Starbucks Hitech City,Hyderabad,Chocolate Croissant,Bakery,Venti,0.0,225,15.0,0,card,Unavailable,Yes,Zomato
TXN00101,2025-10-05,CUST1150,Starbucks Cyber Hub,Bengaluru,Chocolate Croissant,FOOD,Tall,2.0,225 INR,5.0,Unavailable,UPI,4,no,app
TXN00102,2026-05-03,CUST1073,Starbucks Phoenix Mall,Mumbai,Chocolate Croissant,Bakery,Grande,1.0,225,0.0,225,Wallet,five,Unavailable,App
TXN00103,2025-10-24,CUST1027,Starbucks Mall Road,Ludhiana,Turkey Sandwich,Food,Unavailable,1.0,360,0.0,360,Cash,3.5,Unavailable,Unavailable
TXN00104,2025-01-15,CUST1049,Starbucks Koregaon Park,Pune,Americano,Coffee,Unavailable,3.0,230,0.0,690,UPi,Unavailable,Yes,Unavailable
TXN00105,2025-08-30,CUST1084,Starbucks Sector 17,Chandigarh,Iced Tea,Tea,Short,0.0,220,15.0,Unavailable,Card,4,Unavailable,Walk-in
TXN00106,2025-08-15,CUST1116,Starbucks Koregaon Park,Pune,Matcha Latte,Tea,Unavailable,-1.0,345,10.0,-310.5,Wallet,2,No,Walk-in
TXN00107,2026-06-02,CUST1042,Star bucks CP,Delhi,Espresso,Coffee,Grande,3.0,215,0.0,595,Unavailable,6,Yes,Unavailable
TXN00108,2025-11-12,CUST1000,Starbucks Mall Road,Ludhiana,Caramel Macchiato,Coffee,Grande,1.0,340,0.0,Unavailable,Card,five,Yes,Unavailable
TXN00109,22/01/2026,CUST1138,Starbucks MI Road,Jaipur,Caffè Latte,Coffee,Venti,1.0,275,20.0,320,Wallet,4.5,Yes,App
TXN00110,2025-09-11,CUST1048,Starbucks MI Road,Jaipur,Americano,Coffee,Tall,-1.0,265,20.0,-112,Wallet,five,No,Walk-in
TXN00111,08-28-2025,CUST1014,Starbucks Sector 17,Chandigarh,Cold Brew,Coffee,VENTI,1.0,310,0.0,Unavailable,UPi,4,No,Zomato
TXN00112,2025-06-29,CUST1088,Starbucks Koregaon Park,Pune,Turkey Sandwich,Food,VENTI,-1.0,375,5.0,-356.25,Unavailable,3.5,no,Delivery
TXN00113,2025-05-28,CUST1105,Starbucks Cyber Hub,Bengaluru,Americano,Coffee,grande,-1.0,275,5.0,ERROR,Wallet,4,YES,Walk-in
TXN00114,02-10-2025,CUST1150,Starbucks Sector 17,Chandigarh,Turkey Sandwich,Food,VENTI,1.0,360,5.0,Unavailable,card,4,Yes,Swiggy
TXN00115,2026-02-11,CUST1072,Starbucks Indiranagar,Noida,Turkey Sandwich,Food,grande,1.0,375,5.0,Unavailable,UPi,4,Unavailable,Unavailable
TXN00116,2025-02-16,CUST1066,Starbucks Hitech City,Hyderabad,Matcha Latte,Tea,grande,0.0,360,15.0,0,Cash,4,No,app
TXN00117,2026-05-16,CUST1090,Starbucks Hitech City,Hyderabad,Mocha,Coffee,Tall,2.0,355,5.0,Unavailable,Card,five,Yes,App
TXN00118,12/04/2026,CUST1123,Starbucks Sector 17,Chandigarh,Blueberry Muffin,Bakery,grande,2.0,Unavailable,0.0,Unavailable,Card,3,Unavailable,Unavailable
TXN00119,09-16-2025,CUST1020,Starbucks Phoenix Mall,Mumbai,Blueberry Muffin,Bakery,Short,1.0,180,0.0,180,card,five,Unavailable,Walk-in
TXN00120,2026-05-03,CUST1043,Starbucks MI Road,Jaipur,Iced Tea,Tea,VENTI,1.0,245,0.0,245,UPI,3.5,Unavailable,App
TXN00121,Unavailable,CUST1004,Starbucks Sector 17,Chandigarh,Mocha,Coffee,Unavailable,1.0,355,5.0,Unavailable,UPI,5,YES,Delivery
TXN00122,24/05/2025,CUST1088,Starbucks MI Road,Jaipur,Pumpkin Spice Latte,Coffee,VENTI,4.0,415,5.0,Unavailable,Unavailable,4.5,YES,App
TXN00123,19/03/2026,CUST1097,Starbucks Sector-35,Gurugram,Iced Tea,Tea,Grande,0.0,230,5.0,0,UPI,4.5,YES,Delivery
TXN00124,11-12-2025,CUST1026,starbucks Hitech City,Hyderabad,Java Chip Frappuccino,Frappuccino,Unavailable,1.0,390,20.0,312,UPI,4.5,Yes,Walk-in
TXN00125,not available,CUST1146,Starbucks Sector 17,Chandigarh,Cappuccino,Coffee,grande,1.0,290,15.0,Unavailable,card,3.5,YES,Unavailable
TXN00126,10/09/2025,CUST1117,Starbucks CP,Delhi,Caramel Macchiato,coffee,VENTI,4.0,340,10.0,1224,Unavailable,Unavailable,YES,Unavailable
TXN00127,2025-07-25,CUST1101,Starbucks Hitech City,Hyderabad,Cappuccino,Coffee,Unavailable,1.0,315,0.0,Unavailable,Wallet,5,YES,Unavailable
TXN00128,2025-07-04,CUST1053,Starbucks Cyber Hub,Bengaluru,Americano,Coffee,Unavailable,3.0,250,0.0,750,Unavailable,6,No,Zomato
